identifier,uuid.x,createdBy,Date,Type,Type_Adela,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseOnTopOfMound,Prominence,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,Notes,Photo,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWithin,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn,uuid.y
8353,1.00E+18,Adela Sobotkova,13-Sep,Burial Mound,Burial Mound,Legacy verification,"was  9257, local maximum",Annual agriculture,Pasture (grassland),Hilltop (local maximum),42.50394332,26.53938471,4705833.721,462155.3655,3,53,NA,Southwest,NA,files/app/bbf36f8c-5fe6-4593-9260-39544ef81e18_image-1505288778637.original.jpg,3.2,25,NA,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Looting,agriculture,2 - good,Looting,Unknown,"[01,round,4,1,on top in the centre;02,2,1,1,see side]",NA,files/app/d68bcd80-e55a-4ff9-9adf-2cf0a3ef691d_image-1505289107015.original.jpg,POINT(462155.365455 4705833.720766),1.00E+33
8354,1.00E+18,Adela Sobotkova,13-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Perennial agriculture (e.g orchard or vineyard),Pasture (grassland),Hilltop,42.50703375,26.55461101,4706170.197,463408.1784,3,54,NA,Northeast,#241,files/app/fceec07d-01c8-47e1-b661-ab471385b697_image-1505291389296.original.jpg,1,20,NA,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Road cut,age and tiny looting(1m shallow hole),3 - impaired,Infrastructure,Unknown,NA,NA,NA,POINT(463408.178361 4706170.196633),1.00E+33
8355,1.00E+18,Adela Sobotkova,13-Sep,Burial Mound,Burial Mound,Legacy verification,"200231, new mound",Perennial agriculture (e.g orchard or vineyard),Scrub,Hilltop,42.50733415,26.55450363,4706203.599,463399.5321,3,55,NA,North,#242,files/app/5e139eaa-e4b5-408d-8eb8-a0a7322bffcb_image-1505291652065.original.jpg,2,26,NA,NA,NA,NA,NA,modern rubble,No,NA,NA,2 - minor damage,Other,NA,2 - good,Urban development,Unknown,NA,"modern construction debris piled on top, picture in the next mound; refuse",NA,POINT(463399.532079 4706203.599134),1.00E+33
8356,1.00E+18,Adela Sobotkova,13-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Perennial agriculture (e.g orchard or vineyard),Pasture (grassland),Hilltop,42.50717332,26.55512627,4706185.471,463450.5921,3,56,NA,East,NA,files/app/3544119b-c8b6-4642-902e-a7f0a925a49a_image-1505291997175.original.jpg,2,26,NA,20,NA,NA,NA,NA,No,todor thinks Roman,NA,1 - pristine,Looting,NA,1 - full,Looting,Unknown,"[01,round,1.5,0.5]",NA,files/app/50db04b7-a48a-4cd4-aa8d-921ec783d6e4_image-1505292236147.original.jpg,POINT(463450.592052 4706185.471396),1.00E+33
8357,1.00E+18,Adela Sobotkova,13-Sep,Burial Mound,Burial Mound,Legacy verification,large mound with geodetic marker,Pasture (grassland),Pasture (grassland),Hilltop,42.50909979,26.57634437,4706390.457,465194.8752,3,57,195.2,Southeast,#253,files/app/e73d4434-568b-46f0-9ff4-4e5d081edaf5_image-1505294737269.original.jpg,3,32,2,NA,NA,NA,NA,NA,No,NA,NA,1 - pristine,No observation,NA,1 - full,NA,NA,NA,NA,NA,POINT(465194.875234 4706390.457469),1.00E+33
8358,1.00E+18,Adela Sobotkova,13-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,extinct mound with a extensive pottery scatter,Annual agriculture,Annual agriculture,Lower slope,42.50889887,26.56291915,4706373.745,464091.8189,3,58,NA,East,#259-260,files/app/fc1bcd00-dd08-4951-9fd4-25dc7af6671e_image-1505297645631.original.jpg,0,0,NA,NA,NA,NA,Artefact scatter,"fw red thin and medium thick walled pottery, lots of red stone, bricks and tile within ashy unit",Yes,NA,files/app/b68b5ffd-91ac-4c8f-b27e-80e291289bbc_image-1505297784845.original.jpg,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(464091.818887 4706373.745243),10000115052999999e17
8359,1.00E+18,Adela Sobotkova,13-Sep,Uncertain Mound,Uncertain Mound,Legacy verification,uncertain due to refuse ditch but has a geodetic point,Scrub,Pasture (grassland),Hilltop,42.50883206,26.58092907,4706358.857,465571.3818,3,60,NA,East,#262,files/app/5b766102-3f66-414b-ad55-256732d15709_image-1505299262745.original.jpg,2.5,23,NA,NA,NA,NA,NA,NA,No,NA,NA,1 - pristine,Post-depositional,NA,2 - good,Topographic or post-depositional,Unknown,NA,NA,NA,POINT(465571.38175 4706358.857014),10000115052999999e17
8360,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Survey,"south of the road btw Lozenetz and Venetz, not in the map",Annual agriculture,Annual agriculture,Lower slope,42.64050891,26.74048653,4720927.819,478724.5816,3,61,NA,East,#273,files/app/daf6cb5b-4752-4595-be5e-3a3d6abdc9cd_image-1505367560160.original.jpg,1.4,40,1,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(478724.581638 4720927.818736),10000115053700002e17
8361,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Survey,"possibly excavated mound south of road, not in the map",Annual agriculture,Annual agriculture,Lower slope,42.63943084,26.73783139,4720808.78,478506.5374,3,62,NA,Southwest,#274,files/app/f2486eff-13ff-4481-b18c-ac067830be6a_image-1505368492902.original.jpg,1.2,50,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Excavation,agriculture,4 - minimal (already excavated),Infrastructure (possibly exvavated),Other (2012 survey of joining gas pipeline),NA,NA,NA,POINT(478506.537435 4720808.779875),10000115053700002e17
8362,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,right next to the road,Perennial agriculture (e.g orchard or vineyard),Scrub,Lower slope,42.64089119,26.72826896,4720973.413,477723.0978,3,63,NA,East,#275,files/app/67f632c8-8c47-4a99-9bac-d5c2d89b6b80_image-1505369896856.original.jpg,3.5,35,3,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,Road cut,NA,3 - impaired,Topographic or post-depositional,Unknown,NA,south side cut away due to road,NA,POINT(477723.097842 4720973.413417),10000115053700002e17
8363,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,north of road with geodetic marker,Perennial agriculture (e.g orchard or vineyard),Scrub,Upper slope,42.64204179,26.72737219,4721101.414,477649.9909,3,64,NA,Northwest,#278,files/app/fefd7965-f69b-469e-b523-f4ccd0586299_image-1505370430473.original.jpg,4,35,NA,NA,NA,NA,NA,NA,No,NA,NA,1 - pristine,Post-depositional,NA,1 - full,Animal activity,Unknown,NA,NA,NA,POINT(477649.990913 4721101.41398),10000115053700002e17
8364,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,mound in ploughed field,Annual agriculture,Annual agriculture,Lower slope,42.6425537,26.73592337,4721156.032,478351.1941,3,65,NA,East,#280-282,files/app/77ea1bc9-e72f-4139-a0b2-46821480ddb5_image-1505371653997.original.jpg,1.4,30,NA,NA,NA,NA,NA,naturally stony soil,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(478351.194094 4721156.0323),10000115053700002e17
8365,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Lower slope,42.64268392,26.73660096,4721170.32,478406.7872,3,66,NA,East,#283-284,files/app/9f2af3ff-c913-4a95-8e3c-1affcaa4373d_image-1505371742359.original.jpg,1.1,35,0.5,30,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(478406.787179 4721170.31985),10000115053700002e17
8366,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,large mound,Scrub,Scrub,Lower slope,42.64304669,26.73733598,4721210.414,478467.169,3,67,NA,Northeast,#285-286,files/app/7c4f13e3-d32d-4c89-92c2-7adf94403af9_image-1505372141260.original.jpg,6,45,NA,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Excavation,NA,2 - good,Other (specify in Annotation),Unknown,"01, lunette,20,4,2.5,old excavation",NA,files/app/977c01b3-802d-4af3-be0e-831904609dde_image-1505372564707.original.jpg,POINT(478467.168995 4721210.41441),10000115053700002e17
8367,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Scrub,Scrub,Lower slope,42.6438227,26.73759143,4721296.519,478488.3775,3,68,NA,Southwest,#287,files/app/5ab5a19d-36bf-405f-8a36-933a39185d48_image-1505373172334.original.jpg,2.7,35,NA,30,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Construction,"reservoir incorporated between two mounds, 8366-8367",2 - good,Infrastructure,Unknown,NA,NA,NA,POINT(478488.377476 4721296.519097),10000115053700002e17
8368,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,"ploughed up mound, extensive",Annual agriculture,Annual agriculture,Lower slope,42.64259988,26.73766079,4721160.718,478493.6421,3,69,NA,Southwest,#288,files/app/8aab64b8-b890-451d-a4f1-3d8413a6c5af_image-1505373641128.original.jpg,0.5,25,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(478493.642139 4721160.717564),10000115053700002e17
8369,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Lower slope,42.64282251,26.73894843,4721185.112,478599.278,3,70,NA,Northeast,#289,files/app/9683e93c-5452-4028-94dc-2f400d2c9aa5_image-1505373970987.original.jpg,1.65,25,NA,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(478599.278044 4721185.111523),10000115053700002e17
8370,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,decent mound with a soilmark,Annual agriculture,Annual agriculture,Lower slope,42.64283427,26.73876516,4721186.464,478584.2578,3,71,NA,North,#290,files/app/cab60457-cf9e-4811-a4c4-c26d69e823c7_image-1505374217325.original.jpg,1.8,30,NA,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(478584.257796 4721186.464244),10000115053700002e17
8371,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,ploughed up mound in stony field,Annual agriculture,Annual agriculture,Lower slope,42.64350289,26.7392875,4721260.577,478627.3075,3,72,NA,Northeast,#291,files/app/5421a2e7-c3cc-4ab6-bab9-ffbb7fdb679b_image-1505374579322.original.jpg,1.6,33,NA,NA,NA,NA,Loose artefacts,Roman tiny sherds,No,NA,NA,3 - damaged,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(478627.30751 4721260.576643),10000115053700002e17
8372,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,large mound covered by scrub,Annual agriculture,Scrub,Lower slope,42.64298871,26.73953301,4721203.42,478647.2584,3,73,NA,South,#292,files/app/a606bfcf-3606-4153-9273-793395470166_image-1505374910162.original.jpg,6.5,30,NA,NA,NA,NA,NA,NA,No,NA,NA,1 - pristine,Post-depositional,NA,1 - full,Topographic or post-depositional,Unknown,NA,NA,NA,POINT(478647.258352 4721203.419731),10000115053700002e17
8373,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Lower slope,42.64324732,26.74006741,4721232.001,478691.1562,3,74,NA,Northeast,#298,files/app/3dd6d0a0-d7cd-4c65-87f5-c2f705cacf5f_image-1505375834401.original.jpg,1,26,NA,NA,NA,NA,Loose artefacts,Roman base with decoration,Yes,NA,files/app/6abc4db3-c0db-4446-a3bb-cd13f92f4452_image-1505376013423.original.jpg,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(478691.156182 4721232.001351),10000115053799996e17
8374,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Lower slope,42.64326603,26.74077241,4721233.902,478748.9572,3,75,NA,Northeast,#300,files/app/2e76121f-2429-4f4b-b8cb-fd5e6dd42f9b_image-1505376282464.original.jpg,1.5,25,NA,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(478748.957238 4721233.901604),10000115053799996e17
8375,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,RM villa necropolis,Annual agriculture,Annual agriculture,Lower slope,42.64337221,26.74142446,4721245.527,478802.4471,3,76,NA,Northeast,#301,files/app/8482e298-d029-4bc0-8e8e-8aa84899dc23_image-1505376563761.original.jpg,1.3,26,NA,NA,NA,NA,Loose artefacts,red fw,Yes,Roman?,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(478802.447081 4721245.527444),10000115053799996e17
8376,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,Roman villa necropolis,Annual agriculture,Annual agriculture,Lower slope,42.64317995,26.74220435,4721223.984,478866.3161,128,77,NA,East,#302-305,files/app/837ebe0a-239b-4990-ac28-298e779a19ac_image-1505376903465.original.jpg,1.45,28,NA,NA,NA,NA,Loose artefacts,"table amphora handle, base,..rims fit together",Yes,NA,files/app/8ce03ed4-4ddc-493b-bcc5-cd4dfcccb1f3_image-1505377254402.original.jpg - files/app/fcc4bcc7-2d95-4a5e-97b6-89a16cd3b02b_image-1505377070361.original.jpg,2 - minor damage,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(478866.316069 4721223.983519),10000115053799996e17
8377,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Scrub,Lower slope,42.64383983,26.74300737,4721297.057,478932.3695,3,78,NA,Northeast,#306-308,files/app/d6131535-c695-49e2-a4f1-0accd43fd1a7_image-1505377536065.original.jpg,3.5,25,NA,NA,NA,NA,Other,field stones from RT piledvon the NW side;,No,NA,NA,2 - minor damage,Looting,NA,3 - impaired,Looting,Unknown,"[01, round,3,1;02,tail,7,1.5,1]",NA,files/app/5bfff278-eb7c-4987-a876-099f66af3507_image-1505377919511.original.jpg,POINT(478932.369468 4721297.057242),10000115053799996e17
8378,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Lower slope,42.64391798,26.74169733,4721306.063,478825.0015,3,79,NA,West,#309,files/app/0da2d1ea-f744-4f01-8d8a-8a7142798401_image-1505378206379.original.jpg,1.3,30,NA,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(478825.001511 4721306.062903),10000115053799996e17
8379,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Lower slope,42.64431061,26.74055397,4721349.948,478731.4059,3,80,NA,Northwest,#310,files/app/2e91c015-3c81-4c18-82b7-c65324b2b7cd_image-1505378708184.original.jpg,1.3,25,NA,NA,NA,NA,Loose artefacts,"loose red fw, medium thickness X",Yes,Roman,NA,3 - damaged,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(478731.405904 4721349.948168),10000115053799996e17
8380,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,necropolis,Annual agriculture,Annual agriculture,Lower slope,42.64470376,26.74041181,4721393.64,478719.8857,3,81,NA,North,NA,files/app/26923a6a-919d-4331-a774-af855e94946e_image-1505378970657.original.jpg,0.8,18,NA,NA,NA,NA,Loose artefacts,NA,Yes,Roman,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(478719.885745 4721393.63971),10000115053799996e17
8381,1.00E+18,Adela Sobotkova,14-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,"no mound, large light brown soilmark CA 100 m across",Annual agriculture,Annual agriculture,Lower slope,42.64460178,26.74380932,4721381.466,478998.3676,3,82,NA,South,#312,files/app/6605069d-3c7c-45b3-b713-68cc6487b0c2_image-1505379729176.original.jpg,0,0,NA,NA,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,No observation,NA,5- none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(478998.367587 4721381.46624),10000115053799996e17
8382,1.00E+18,Adela Sobotkova,14-Sep,Surface Scatter,Surface Scatter,Legacy verification,Roman villa,Annual agriculture,Annual agriculture,Upper slope,42.65247945,26.73995829,4722257.178,478685.363,3,83,NA,East,#320-322,files/app/43bfecd9-b942-4fa5-9e66-d78cf87a2392_image-1505383018077.original.jpg,0,150,NA,NA,NA,NA,Artefact scatter,"tiles, bricks, pithos rim, wasters, fineware, cookware, hardwired handmade pottery, sample taken",Yes,Roman,NA,3 - damaged,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(478685.36304 4722257.178262),10000115053799996e17
8383,1.00E+18,Adela Sobotkova,14-Sep,Surface Scatter,Surface Scatter,Survey,NA,Annual agriculture,Annual agriculture,Upper slope,42.65228682,26.73007714,4722238.327,477875.3736,3,84,NA,East,#323,files/app/de024cb6-26a2-4825-92f7-95417363acda_image-1505386158127.original.jpg,0,150,NA,NA,NA,NA,Artefact scatter,NA,Yes,"ancient wasters, pottery, brick, tiles,less fancy than 8382",NA,0 - No observation,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(477875.373627 4722238.326642),1.00E+33
8384,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,north most mound on the ridge,Scrub,Pasture (grassland),Hilltop,42.65134773,26.72751261,4722134.722,477664.8322,3,85,NA,Southwest,#325,files/app/5df45b26-6043-4b44-948a-9112ec42c3dc_image-1505386699041.original.jpg,2.5,25,NA,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Anthropogenic,perhaps road cut,1 - full,Topographic or post-depositional,Unknown,NA,tiny bit of rose scrub on top,NA,POINT(477664.832229 4722134.722159),1.00E+33
8385,1.00E+18,Adela Sobotkova,14-Sep,Burial Mound,Burial Mound,Legacy verification,hilltop mound behind water station,Scrub,Scrub,Hilltop,42.65042453,26.72764953,4722032.173,477675.7245,3,86,NA,Southeast,#327,files/app/1498a94b-4f80-4db8-98d9-3700b1f227ef_image-1505387046702.original.jpg,3,30,2,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Looting,NA,2 - good,Topographic or post-depositional,Unknown,"[01,oblong,8,4,1.5,on top in the middle with scrub inside;02, crescent,7,2.5,1,southside]",NA,files/app/fc4e26db-45ca-4e57-a94d-040d80996ab9_image-1505387431056.original.jpg,POINT(477675.72453 4722032.172756),1.00E+33
8386,1.00E+18,Adela Sobotkova,14-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,mound converted into a water station,Scrub,Pasture (grassland),Hilltop,42.64992832,26.72774941,4721977.046,477683.7343,3,087 (GPS point taken north of the fenced area),NA,South,#328,files/app/3aca0284-4f56-407c-b138-d8fc717e189c_image-1505387581682.original.jpg - files/app/f86e3fb4-5515-4e09-8bcd-44f3c278cd9f_image-1505387591416.original.jpg,3,30,NA,NA,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Urban development,NA,5- none or nearly none,Infrastructure,Unknown,NA,NA,NA,POINT(477683.734318 4721977.046082),1.00E+33
8387,1.00E+18,Adela Sobotkova,15-Sep,Burial Mound,Burial Mound,Legacy verification,mound with geodetic matker,Annual agriculture,Scrub,Hilltop,42.37069033,26.68817614,4690981.965,474325.9007,3,88,204.9,West,#329,files/app/efc17309-87f3-4a48-ab4b-8c9773288526_image-1505455178772.original.jpg,2.8,33,NA,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Looting,NA,2 - good,Looting,Unknown,"01,round,4,1.7,older than 5 years overgrown",NA,files/app/4d87cdbe-a6b4-4b15-9725-c17abd17b02e_image-1505455508960.original.jpg,POINT(474325.900682 4690981.965327),10000115054599996e17
8388,1.00E+18,Adela Sobotkova,15-Sep,Uncertain Mound,Uncertain Mound,Legacy verification,"uncertain small mound, light brown soilmark next to 8387 and 8389",Annual agriculture,Annual agriculture,Hilltop,42.36998376,26.68746995,4690903.723,474267.4673,3,89,NA,Southwest,#330,files/app/68947fa7-3efb-4d2d-9b58-c6aebe7307d5_image-1505455834494.original.jpg,0.4,15,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(474267.467296 4690903.723142),10000115054599996e17
8389,1.00E+18,Adela Sobotkova,15-Sep,Burial Mound,Burial Mound,Legacy verification,mound and soilmark,Annual agriculture,Annual agriculture,Hilltop,42.37009877,26.68690912,4690916.664,474221.3384,3,90,NA,West,"#331,333",files/app/17f3a13f-9119-4cfd-a605-943b305c60e1_image-1505456087470.original.jpg,1,28,0.8,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,"animal burrow in the centre showing 20 cm cultural layer, and 20 cm of limestone bedrock",files/app/8f7e3442-9bb2-4a06-84ef-1ed2dba8f916_image-1505456300123.original.jpg,POINT(474221.338445 4690916.663801),10000115054599996e17
8390,1.00E+18,Adela Sobotkova,15-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Other (explain in notes) (dirt road),Upper slope,42.37046618,26.68530493,4690957.947,474089.406,3,91,NA,Northeast,#334,files/app/0078942c-0a67-4298-8fa5-1d0a488c26a2_image-1505456797915.original.jpg,0.8,32,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Road cut,agriculture,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(474089.405998 4690957.947345),10000115054599996e17
8391,1.00E+18,Adela Sobotkova,15-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Hilltop,42.37002416,26.6842255,4690909.196,474000.3485,3,92,NA,Northeast,#337,files/app/b9d0cbf8-273e-4b96-a99c-13dbe58821d0_image-1505457167203.original.jpg,1.5,35,NA,NA,NA,NA,Loose artefacts,red fw medium thick walled pottery,No,NA,NA,3 - damaged,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(474000.34847 4690909.195911),10000115054599996e17
8392,1.00E+18,Adela Sobotkova,15-Sep,Burial Mound,Burial Mound,Legacy verification,mound is cut by the canal,Annual agriculture,Other (explain in notes) (water canal and field division),Hilltop (local maximum),42.36872282,26.67250379,4690768.352,473034.6708,3,93,NA,North,#340-341,files/app/0ee688e8-1bd5-444a-abe8-dd0f0b248daa_image-1505458533449.original.jpg,1.2,35,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Construction,"canal construction, agriculture",4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(473034.670826 4690768.351956),10000115054599996e17
8393,1.00E+18,Adela Sobotkova,15-Sep,Burial Mound,Burial Mound,Legacy verification,canal going through,Annual agriculture,Other (explain in notes) (same as before),Hilltop,42.36299756,26.6664066,4690134.593,472530.1468,3,94,NA,West,#342-343,files/app/15f7a8b7-9019-4f9d-b535-43b344ba020d_image-1505459860526.original.jpg,1.2,30,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Construction,agriculture,5- none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(472530.146829 4690134.593372),10000115054599996e17
8394,1.00E+18,Adela Sobotkova,15-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,south of canal,Annual agriculture,Annual agriculture,Hilltop,42.36200194,26.66481155,4690024.559,472398.3653,3,95,NA,West,#344,files/app/6bc3e22f-c899-4a7b-ad1e-0ead095f77a4_image-1505460354523.original.jpg,0.3,30,NA,NA,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(472398.365331 4690024.559482),10000115054599996e17
8395,1.00E+18,Adela Sobotkova,15-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Hilltop,42.3574834,26.65786765,4689525.116,471824.54,3,96,NA,West,#346-347,files/app/26235e67-0dd6-4eca-99b5-bb548310f519_image-1505461208163.original.jpg,2.5,40,NA,NA,NA,"large ploughed up mound, was 3 m tall on the map",NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,1 - full,Agriculture,Last week,NA,tractor is going around it as we register the mound,NA,POINT(471824.540001 4689525.115943),10000115054599996e17
8396,1.00E+18,Adela Sobotkova,15-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Hilltop,42.35176889,26.65653932,4688891.042,471712.5856,3,97,NA,East,#348,files/app/9d275af6-13d5-4253-bec6-04c2ae399ba8_image-1505462588968.original.jpg,0,0,NA,NA,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last week,NA,NA,NA,POINT(471712.585563 4688891.041811),10000115054599996e17
8397,1.00E+18,Adela Sobotkova,15-Sep,Burial Mound,Burial Mound,Legacy verification,geodetic marker on top,Annual agriculture,Annual agriculture,Hilltop,42.34609813,26.65351338,4688262.394,471460.8043,3,98,192.6,Southwest,#349-350,files/app/ee0cc36a-2657-46c5-95c6-0a604bf8b99c_image-1505463470669.original.jpg,2.3,40,NA,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,2 - good,Agriculture,Last week,NA,NA,NA,POINT(471460.804264 4688262.394331),10000115054599996e17
8398,1.00E+18,Adela Sobotkova,15-Sep,Burial Mound,Burial Mound,Legacy verification,concrete marker on top,Annual agriculture,Scrub,Hilltop,42.34853821,26.64759704,4688535.333,470974.6124,3,99,NA,West,#351-352,files/app/9997b40c-dc79-4e0b-8929-5134daa9109d_image-1505464651443.original.jpg,1.7,27,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last week,NA,NA,NA,POINT(470974.61244 4688535.332572),10000115054599996e17
8399,1.00E+18,Adela Sobotkova,15-Sep,Burial Mound,Burial Mound,Legacy verification,grey soilmark over low mound,Annual agriculture,Annual agriculture,Hilltop (ridge),42.34828452,26.64679311,4688507.439,470908.2799,3,100,NA,West,#353,files/app/0e2e9bc1-3788-4334-a645-84188fabf532_image-1505465078495.original.jpg,1.4,25,NA,NA,NA,NA,Loose artefacts,few very abraded red fw fragments and a handle,No,NA,NA,4 - seriously damaged,Agriculture,NA,3 - impaired,Agriculture,Last week,NA,NA,NA,POINT(470908.279946 4688507.438951),10000115054700001e17
